Día,Interlocut,Cliente,Latitud,Longitud,Pedido,Real,T.Ruta,Cluster
lunes,210356,11687106,-12.0529134,-76.9813181,2.5,2.5,R.Principal,8
lunes,210356,11656918,-12.03458,-76.98763,1.3900000000000001,1.3900000000000001,R.Principal,8
lunes,210356,11613342,-12.054685,-76.978572,3.875,3.875,R.Principal,8
lunes,210356,11637152,-12.03426,-76.98679,5.505000000000001,5.505000000000001,R.Principal,8
lunes,210356,11647112,-12.03427,-76.98676,5.475,5.475,R.Principal,8
lunes,210356,11660133,-12.05482,-76.97715,8.825,8.825,R.Principal,8
lunes,210356,11660257,-12.03386,-76.98822,1.6400000000000001,1.6400000000000001,R.Principal,8
lunes,210356,11543584,-12.034249,-76.986691,3.0999999999999996,3.0999999999999996,R.Principal,8
lunes,210356,11673036,-12.0333955,-76.9873825,2.7399999999999998,2.7399999999999998,R.Principal,8
lunes,210356,6357196,-12.034318,-76.986864,2.88,2.88,R.Principal,8
lunes,210356,11659800,-12.03219,-76.98793,1.9899999999999998,1.9899999999999998,R.Principal,8
lunes,210356,11641874,-12.05121,-76.97862,1.6,1.6,R.Principal,8
lunes,210356,6349987,-12.0533631,-76.9803624,2.1,2.1,R.Principal,8
lunes,210356,11649421,-12.04308,-76.98423,6.32,6.32,R.Principal,8
lunes,210356,11649799,-12.05174,-76.97858,4.239999999999999,4.239999999999999,R.Principal,8
lunes,210356,6349436,-12.051967,-76.978809,7.06,7.06,R.Principal,8
lunes,210356,11667418,-12.0542951,-76.9794683,1.5899999999999999,1.5899999999999999,R.Principal,8
lunes,210356,11642122,-12.03686,-76.98744,5.119999999999999,5.119999999999999,R.Principal,8
lunes,210356,11665676,-12.0544469,-76.9818321,2.1599999999999997,2.1599999999999997,R.Principal,8
lunes,210356,6354811,-12.043344,-76.979426,5.695,5.695,R.Principal,8
lunes,210360,6430001,-11.9858556,-76.9378184,2.7,2.7,R.Principal,9
lunes,210360,6402791,-11.979081,-76.942024,1.92,1.92,R.Principal,9
lunes,210360,11638952,-11.97713,-76.94055,1.8599999999999999,1.8599999999999999,R.Principal,9
lunes,210360,11656118,-11.97313,-76.93954,17.48,17.48,R.Principal,9
lunes,210360,6362038,-11.97964,-76.94277,3.76,3.76,R.Principal,9
lunes,210360,11569821,-11.983344,-76.939558,4.56,4.56,R.Principal,9
lunes,210360,11658308,-11.97657,-76.94127,13.224,13.224,R.Principal,9
lunes,210360,6354430,-11.979589,-76.941815,2.16,2.16,R.Principal,9
lunes,210360,11580239,-11.9766672,-76.9409984,2.0,0.0,R.Principal,9
lunes,210360,6356866,-11.974046,-76.937338,3.52,3.52,R.Principal,9
lunes,210360,11553765,-11.9854848,-76.943488,2.44,2.44,R.Principal,9
lunes,210360,11676366,-11.9762147,-76.941006,0.6,0.6,R.Principal,9
lunes,210360,6361850,-11.9817083,-76.9464328,1.26,1.26,R.Principal,9
lunes,210360,11683705,-11.9691341,-76.9408163,2.0,0.0,R.Principal,9
lunes,210360,6355218,-11.9678968,-76.9418002,1.38,1.38,R.Principal,9
lunes,210360,11675771,-11.9763336,-76.9410709,8.040000000000001,8.040000000000001,R.Principal,9
lunes,210360,11547743,-11.9762601,-76.9413603,7.6,7.6,R.Principal,9
lunes,210374,6346613,-12.1026416,-77.0277036,45.0,45.0,R.Principal,10
lunes,210374,6345325,-12.0920642,-77.0250995,74.74000000000001,74.74000000000001,R.Principal,10
lunes,210375,11558697,-12.1269049,-77.0125833,2.4,2.4,R.Principal,10
lunes,210375,6341302,-12.12472,-77.03094,183.5,183.5,R.Principal,10
lunes,210375,6347421,-12.12918,-77.02866,29.0,29.0,R.Principal,10
lunes,210375,6340798,-12.13123,-77.02851,45.0,45.0,R.Principal,10
lunes,210375,6396006,-12.12326,-77.02877,52.2,52.2,R.Principal,10
lunes,210375,6340735,-12.128093,-77.0056138,34.61,34.61,R.Principal,10
lunes,210375,6423997,-12.11592,-77.04155,40.32,40.32,R.Principal,10
lunes,210375,6341179,-12.1188225,-77.0413929,60.0,60.0,R.Principal,10
lunes,210375,11610265,-12.11852,-77.02677,30.0,30.0,R.Principal,10
lunes,210375,11667586,-12.1262061,-77.0196845,0.9,0.9,R.Principal,10
lunes,210375,11558778,-12.1195679,-77.0241686,19.5,19.5,R.Principal,10
lunes,210375,6358085,-12.11672,-77.02451,188.64,188.64,R.Principal,10
lunes,210369,6240338,-12.1720563,-77.0138144,17.0,17.0,R.Principal,10
lunes,210369,11589086,-12.17695437,-77.01146011,1.94,1.94,R.Principal,10
lunes,210369,11560024,-12.145157,-77.011137,13.0,13.0,R.Principal,10
lunes,210369,6348264,-12.14302,-77.02546,7.28,7.28,R.Principal,10
lunes,210369,11670536,-12.1331201,-77.0200453,42.0,42.0,R.Principal,10
lunes,210371,6362517,-12.0926648,-77.0090474,6.0,6.0,R.Principal,10
lunes,210371,6341770,-12.09054,-77.00561,20.0,20.0,R.Principal,10
lunes,210371,6341327,-12.0972452,-77.0113567,12.0,12.0,R.Principal,10
lunes,210375,6340746,-12.13023,-77.02002,20.9,20.9,R.Principal,10
lunes,210371,6345703,-12.0586453,-77.0225659,6.0,6.0,R.Principal,10
lunes,210375,11683466,-12.1078964,-77.0180176,6.74,6.74,R.Principal,10
lunes,210375,11580777,-12.10425659,-77.01884747,2.38,2.38,R.Principal,10
lunes,210375,11655810,-12.10759,-77.01834,6.3199999999999985,6.3199999999999985,R.Principal,10
lunes,210375,11578456,-12.1148316,-77.0080154,11.36,11.36,R.Principal,10
lunes,210375,6421866,-12.11744,-77.00772,5.82,5.82,R.Principal,10
lunes,210374,6407746,-12.1023362,-77.0244839,3.0,3.0,R.Principal,10
lunes,210375,11557610,-12.1204963,-77.0051196,4.0,4.0,R.Principal,10
lunes,210375,6340742,-12.1078238,-77.0106592,30.0,30.0,R.Principal,10
lunes,210371,6340740,-12.09007,-77.01843,10.0,10.0,R.Principal,10
lunes,210374,6340748,-12.1026467,-77.0149242,14.0,14.0,R.Principal,10
lunes,204621,11664168,-11.9392133,-77.0668549,3.6,3.6,R.Secundario,11
lunes,204621,11640639,-11.938965,-77.066259,4.5,4.5,R.Secundario,11
lunes,204621,11631597,-11.939052,-77.066944,40.0,40.0,R.Secundario,11
lunes,204621,11625937,-11.9386838,-77.0653954,549.7,549.7,R.Secundario,11
lunes,204621,11640638,-11.938495,-77.067515,14.25,14.25,R.Secundario,11
lunes,204621,11635867,-11.93917,-77.067054,100.92,100.92,R.Secundario,11
lunes,204621,6405678,-11.93819,-77.0652,141.0,141.0,R.Secundario,11
lunes,204621,11633389,-11.9387761,-77.0658617,96.0,96.0,R.Secundario,11
lunes,204621,11667879,-11.9393151,-77.0672562,414.4,414.4,R.Secundario,11
lunes,204621,11683061,-11.9382832,-77.0710831,334.0,334.0,R.Secundario,11
lunes,204621,11686305,-11.9387542,-77.0658433,85.7,85.7,R.Secundario,11
lunes,204621,11686304,-11.9391341,-77.0669366,60.6,60.6,R.Secundario,11
lunes,204621,11688144,-11.939008,-77.0671396,256.84,256.84,R.Secundario,11
lunes,210362,11632268,-11.94548,-77.08753,7.455,7.455,R.Principal,11
lunes,210362,11655453,-11.94523,-77.08745,17.52,17.52,R.Principal,11
lunes,210349,11655226,-11.93755,-77.08037,1.12,1.12,R.Principal,11
lunes,210349,11653181,-11.936939,-77.079985,2.25,2.25,R.Principal,11
lunes,210349,11668648,-11.9314342,-77.0979847,1.1600000000000001,1.1600000000000001,R.Principal,11
